sample_id,repo_id,repo_full_name,commit_sha,context_id,context_score,aws_token_count,ec2_count,iam_count,lambda_count,num_data_blocks,num_files,num_modules,num_outputs,num_resources,num_variables,private_network_signal_count,public_ingress_count,public_ip_signal_count,rds_count,s3_count,security_group_count,subnet_count,vpc_count,cluster_id
103173578:5e1825205b85,103173578,terraform-aws-modules/terraform-aws-ec2-instance,5e1825205b85a4fb9d10d90225e5d4d28428f49f,C1,175.0,124.0,38.0,16.0,0.0,7.0,14.0,18.0,104.0,19.0,82.0,14.0,1.0,15.0,0.0,0.0,6.0,2.0,2.0,8
151727619:6764756376d3,151727619,ned1313/Getting-Started-Terraform,6764756376d387bd8cda3291344fe1e8e28b3b82,C1,57.0,101.0,10.0,0.0,0.0,4.0,17.0,0.0,11.0,32.0,30.0,0.0,8.0,10.0,0.0,8.0,8.0,15.0,23.0,7
111707826:0bf72dbf069d,111707826,ned1313/Deep-Dive-Terraform,0bf72dbf069d4a816fe927a2a0b28c817ad0f6b3,C1,34.0,36.0,8.0,0.0,0.0,2.0,19.0,2.0,4.0,13.0,9.0,0.0,3.0,1.0,0.0,0.0,8.0,2.0,1.0,0
69681355:6c02ed873ab3,69681355,kubenow/KubeNow,6c02ed873ab3f2b3fdc60c6e9cb3549e7c2b4e30,C1,27.0,42.0,5.0,0.0,0.0,14.0,20.0,34.0,35.0,38.0,4.0,0.0,2.0,1.0,0.0,0.0,8.0,3.0,2.0,3
136401408:42693d40bceb,136401408,terraform-aws-modules/terraform-aws-eks,42693d40bceb3ad80d49b0574cc3046455c2def6,C2,79.5,51.0,7.0,0.0,0.0,11.0,14.0,22.0,56.0,15.0,0.0,18.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,3
104858991:87f1c9c18408,104858991,terraform-aws-modules/terraform-aws-alb,87f1c9c18408993abe951db5bf788c676abf0731,C2,69.0,100.0,11.0,0.0,0.0,10.0,20.0,20.0,50.0,34.0,63.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2
345692117:a1ee242ebd12,345692117,maddevsio/aws-eks-base,a1ee242ebd12d75615dbab2cd5e9961ee33a1773,C4,138.0,195.0,0.0,13.0,0.0,9.0,20.0,23.0,29.0,42.0,28.0,11.0,1.0,1.0,0.0,36.0,1.0,0.0,0.0,11
171960455:f75794ade8a5,171960455,chgasparoto/curso-aws-com-terraform,f75794ade8a555959d482519d126868309d899d5,C4,66.0,41.0,5.0,0.0,0.0,3.0,20.0,0.0,8.0,15.0,13.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0
1013291089:dd6251a1b5d1,1013291089,piyushsachdeva/Terraform-Full-Course-Aws,dd6251a1b5d179bcb18a708752dc21e996534828,C4,66.0,39.0,5.0,2.0,0.0,0.0,20.0,0.0,35.0,12.0,25.0,0.0,1.0,1.0,0.0,20.0,4.0,2.0,2.0,0
94737529:4598828cce90,94737529,ozbillwang/terraform-best-practices,4598828cce90c737b3a799512dff79c432f7acda,C4,25.0,14.0,0.0,2.0,1.0,2.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3
