feature,count,zero_frac,mean,std,min,p05,p50,p95,max
lambda_count,40,0.9,0.35,1.3883443376914824,0.0,0.0,0.0,1.1499999999999915,8.0
rds_count,40,0.9,0.5,1.70293863659264,0.0,0.0,0.0,3.1999999999999886,8.0
s3_count,40,0.7,3.825,8.333329166665626,0.0,0.0,0.0,20.299999999999983,36.0
public_ip_signal_count,40,0.65,1.35,2.9878922336657325,0.0,0.0,0.0,6.199999999999989,15.0
private_network_signal_count,40,0.625,5.175,8.859705130533408,0.0,0.0,0.0,17.049999999999997,46.0
subnet_count,40,0.625,3.35,5.960494945891658,0.0,0.0,0.0,15.249999999999986,22.0
vpc_count,40,0.5,5.625,8.75981592272349,0.0,0.0,0.5,25.049999999999997,34.0
ec2_count,40,0.45,4.975,7.770094915765187,0.0,0.0,2.0,19.099999999999994,38.0
iam_count,40,0.425,11.425,18.178129029138287,0.0,0.0,2.5,53.449999999999974,79.0
public_ingress_count,40,0.425,3.975,6.088873048438438,0.0,0.0,1.0,15.0,30.0
security_group_count,40,0.375,7.75,9.73845470287766,0.0,0.0,4.5,33.0,33.0
num_modules,40,0.25,9.075,11.699118556540915,0.0,0.0,3.0,28.299999999999983,52.0
num_variables,40,0.225,27.8,30.541938379873667,0.0,0.0,16.0,86.49999999999997,111.0
num_data_blocks,40,0.05,7.425,6.895242925379787,0.0,0.9500000000000002,6.0,19.249999999999986,37.0
num_outputs,40,0.05,43.75,76.56361733878566,0.0,0.9500000000000002,12.5,160.14999999999998,427.0
aws_token_count,40,0.0,80.475,65.26675551151598,10.0,13.95,47.0,195.45,307.0
num_files,40,0.0,17.7,3.722902093797257,3.0,10.850000000000001,20.0,20.0,20.0
num_resources,40,0.0,25.5,22.33718872194977,2.0,2.95,15.0,68.34999999999998,85.0
